ID,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Description,State
A-51,201.0,2,2016-02-09 06:48:18,2016-02-09 07:18:18,39.77858,-84.20468100000001,Accident on OH-48 Main St at Burton Ave. Expect delays.,OH
A-52,201.0,2,2016-02-09 06:53:09,2016-02-09 07:23:09,39.792988,-84.20607,Accident on Riverside Dr at Pointview Ave. Expect delays.,OH
A-53,201.0,3,2016-02-09 06:54:31,2016-02-09 07:24:31,39.770382,-84.194901,Accident on I-75 Northbound at Exit 54B Grand Ave. Expect delays.,OH
A-54,201.0,3,2016-02-09 07:03:20,2016-02-09 07:33:20,39.976397999999996,-83.119225,Accident on I-70 Eastbound at Exits 93 93A 93B I-270 Outerbelt. Expect delays.,OH
A-55,201.0,3,2016-02-09 07:05:37,2016-02-09 07:35:37,39.6395,-84.23136099999999,Accident on I-75 Southbound at Exit 44 OH-725 Miamisburg Centerville Rd. Expect delays.,OH
A-56,201.0,2,2016-02-09 07:04:58,2016-02-09 07:34:58,39.232578000000004,-84.159286,Accident on OH-28 State Route 28 at Wood St. Expect delays.,OH
A-57,201.0,2,2016-02-09 07:15:41,2016-02-09 07:45:41,39.746593,-84.23912,Accident on McCall St at Abbey Ave. Expect delays.,OH
A-58,201.0,2,2016-02-09 07:41:01,2016-02-09 08:11:01,39.742783,-84.182472,Accident on Brown St at Fairground Ave. Expect delays.,OH
A-59,201.0,2,2016-02-09 07:42:43,2016-02-09 08:12:43,39.75452,-84.159279,Accident on US-35 Eastbound at Steve Whalen Blvd. Expect delays.,OH
A-60,201.0,2,2016-02-09 07:42:11,2016-02-09 08:12:11,39.749916,-84.139359,Accident on US-35 Eastbound at Smithville Rd. Expect delays.,OH
A-61,201.0,3,2016-02-09 07:46:41,2016-02-09 08:16:41,40.100903,-82.98410799999999,Accident on I-270 Outerbelt Southbound at Exit 26 I-71.,OH
A-62,201.0,2,2016-02-09 07:54:44,2016-02-09 08:24:44,39.772808000000005,-84.201851,Accident on 5 Oaks Ave at Forest Ave. Expect delays.,OH
A-63,201.0,2,2016-02-09 08:06:39,2016-02-09 08:36:39,39.492484999999995,-84.131798,Accident on US-42 State Route 42 at Middletown Rd. Expect delays.,OH
A-64,201.0,2,2016-02-09 08:12:44,2016-02-09 08:42:44,39.570904,-84.251724,Accident on County Hwy-119 Clearcreek Rd near Tamarack Trl. Expect delays.,OH
A-65,201.0,2,2016-02-09 08:10:20,2016-02-09 08:40:20,39.834282,-82.74382,Accident on US-33 Columbus Lancaster Rd Westbound near County Hwy-20 Pickerington Rd. Expect delays.,OH
A-66,201.0,3,2016-02-09 08:23:36,2016-02-09 08:53:36,39.622787,-84.229858,Accident on I-75 Southbound at I-675. Expect delays.,OH
A-67,201.0,3,2016-02-09 08:24:29,2016-02-09 08:54:29,39.429871,-84.079666,Right hand shoulder blocked due to accident on I-71 Southbound at Exit 36 County Hwy-7 Wilmington Rd.,OH
A-68,201.0,3,2016-02-09 08:20:30,2016-02-09 08:50:30,41.407391,-81.64676700000001,Accident on I-480 Westbound at Exit 20A-B I-77. Expect delays.,OH
A-69,201.0,3,2016-02-09 08:35:53,2016-02-09 09:05:53,41.424403999999996,-81.57867399999999,Accident on I-480 Eastbound at Exit 23 OH-14 Broadway Ave.,OH
A-70,241.0,3,2016-02-09 10:06:46,2016-02-09 10:36:46,39.89217,-83.039169,One lane blocked due to accident on I-270 Outerbelt Westbound at Exit 55 I-71.,OH
A-71,241.0,2,2016-02-09 11:09:37,2016-02-09 11:39:37,41.022358000000004,-83.650345,One lane blocked due to accident on Main St Southbound at Lake Cascade Pkwy.,OH
A-72,201.0,2,2016-02-10 06:18:16,2016-02-10 06:48:16,39.206806,-84.053253,Accident on Short Leuders Rd at OH-133 State Route 133. Expect delays.,OH
A-73,241.0,3,2016-02-10 06:06:00,2016-02-10 09:06:00,39.973797,-83.022285,One lane blocked due to accident on OH-315 Olentangy Fwy Northbound at Goodale St.,OH
A-74,201.0,2,2016-02-10 06:24:29,2016-02-10 06:54:29,40.048008,-82.86421999999999,Accident on Vista Dr at Hamilton Rd.,OH
A-75,201.0,2,2016-02-10 06:53:02,2016-02-10 07:23:02,39.814526,-84.021744,Accident on OH-444 Central Ave at Kauffman Ave. Expect delays.,OH
A-76,201.0,3,2016-02-10 07:50:52,2016-02-10 08:20:52,40.151196,-84.22003199999999,Accident on I-75 Northbound at Exit 82 US-36 Ash St. Expect delays.,OH
A-77,201.0,3,2016-02-10 07:50:08,2016-02-10 08:20:08,39.954617,-82.844238,Accident on I-270 Outerbelt Eastbound at Exit 43A-B/41A-B US-40 Main St. Expect delays.,OH
A-78,247.0,2,2016-02-10 08:01:30,2016-02-10 08:31:30,38.990551,-84.207497,Delays due to accident on Lindale Mount Holly Rd at Lindale Nicholsville Rd.,OH
A-79,201.0,2,2016-02-10 08:08:36,2016-02-10 08:38:36,40.008995,-83.002678,Accident on Indianola Ave at Oakland Ave. Expect delays.,OH
A-80,201.0,2,2016-02-10 08:11:22,2016-02-10 08:41:22,39.077332,-84.225014,Accident on Lake Allyn Rd at Amelia Olive Branch Rd.,OH
A-81,201.0,2,2016-02-10 08:50:54,2016-02-10 09:20:54,39.955452,-82.795845,Accident on US-40 Main St Eastbound at Cypress Aly.,OH
A-82,201.0,3,2016-02-10 09:03:53,2016-02-10 09:33:53,40.224585999999995,-82.929085,Accident on I-71 Northbound at Rest Stop North.,OH
A-83,201.0,3,2016-02-10 09:42:04,2016-02-10 10:12:04,39.976397999999996,-83.119225,Accident on I-270 Outerbelt Southbound at I-70 Exits 93 93A 93B. Expect delays.,OH
A-84,241.0,3,2016-02-10 10:38:58,2016-02-10 11:08:58,39.985603000000005,-82.939247,One lane blocked due to accident on I-670 Eastbound at Exit 7 US-62. Expect delays.,OH
A-85,201.0,3,2016-02-10 17:10:00,2016-02-10 23:59:00,41.040714,-81.61314399999999,Left lane blocked due to accident on I-76 Westbound at Exit 16 Barber Rd.,OH
A-86,201.0,3,2016-02-10 18:09:00,2016-02-10 23:59:00,41.083679,-81.579002,Left lane blocked due to accident on I-77 Northbound between Exit 130 OH-261 Vernon Odom Blvd and Exit 131 OH-162 Copley Rd.,OH
A-87,201.0,3,2016-02-10 18:41:44,2016-02-10 19:11:44,40.766890999999994,-82.42411,Accident on I-71 Northbound in Crimson. Approach with care.,OH
A-88,201.0,3,2016-02-11 05:32:29,2016-02-11 06:02:29,41.422199,-81.843018,Accident on I-480 Westbound at Exit 9 OH-17 Brookpark Rd. Expect delays.,OH
A-89,201.0,3,2016-02-11 05:30:51,2016-02-11 06:00:51,41.063995,-81.57294499999999,Accident on I-77 Southbound at Exit 130 OH-261 Vernon Odom Blvd. Expect delays.,OH
A-90,201.0,2,2016-02-11 06:10:07,2016-02-11 06:40:07,39.747753,-84.20558199999999,Accident on US-35 Eastbound at I-75. Expect delays.,OH
A-91,201.0,2,2016-02-11 06:20:28,2016-02-11 06:50:28,38.99408,-84.142021,Accident on OH-125 State Route 125 at Bantam Rd. Expect delays.,OH
A-92,201.0,3,2016-02-11 06:29:00,2016-02-11 21:00:00,41.420818,-81.694008,Accident on I-480 Eastbound at Exit 16 OH-94 State Rd. Expect delays.,OH
A-93,201.0,2,2016-02-11 07:17:58,2016-02-11 07:47:58,40.030342,-83.030197,Accident on North Broadway St at OH-315 Olentangy Fwy Exits 6 6A-B-C. Expect delays.,OH
A-94,201.0,2,2016-02-11 07:18:39,2016-02-11 07:48:39,39.858089,-82.827904,Accident on US-33 Columbus Lancaster Rd at OH-674 Gender Rd. Expect delays.,OH
A-95,201.0,3,2016-02-11 07:21:55,2016-02-11 07:51:55,41.112324,-81.60992399999999,Accident on I-77 Northbound at Exit 133 Ridgewood Rd. Expect delays.,OH
A-96,201.0,2,2016-02-11 07:28:16,2016-02-11 07:58:16,39.994061,-82.729416,Accident on OH-16 Broad St at County Hwy-41 Mink St. Expect delays.,OH
A-97,201.0,3,2016-02-11 07:29:06,2016-02-11 08:18:10,41.355396,-81.81926700000001,Accident on I-71 Northbound at Exit 234 US-42 Pearl Rd.,OH
A-98,201.0,2,2016-02-11 07:53:55,2016-02-11 08:23:55,39.687389,-84.23796800000001,Accident on Vance Rd at Main St. Expect delays.,OH
A-99,201.0,2,2016-02-11 08:07:02,2016-02-11 08:37:02,39.751038,-84.214325,Accident on Broadway St at Home Ave. Expect delays.,OH
