Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Civil_Twilight,Year,Month
MapQuest,3,2019-12-28 14:13:50,2019-12-28 15:43:48,40.872616,-73.98107900000001,Leonia,Bergen,NJ,51.0,51.0,48.0,30.16,10.0,9.0,0.0,Fair,Day,2019,12.0
MapQuest,3,2019-12-28 14:30:54,2019-12-28 15:31:44,40.866253,-74.00843,Teaneck,Bergen,NJ,50.0,50.0,48.0,30.17,10.0,6.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-28 14:39:07,2019-12-28 15:23:39,40.800369,-74.187469,Bloomfield,Essex,NJ,50.0,50.0,48.0,30.17,10.0,6.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-29 00:46:24,2019-12-29 01:15:25,40.498371,-74.300613,South Amboy,Middlesex,NJ,38.0,38.0,76.0,30.21,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,2,2019-12-29 06:58:06,2019-12-29 07:27:24,40.626991,-74.30432900000001,Clark,Union,NJ,35.0,35.0,85.0,30.22,10.0,0.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-29 06:58:06,2019-12-29 09:46:02,40.626991,-74.30432900000001,Clark,Union,NJ,35.0,35.0,85.0,30.22,10.0,0.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-29 08:03:27,2019-12-29 09:01:28,40.685818,-74.09344499999999,Jersey City,Hudson,NJ,42.0,38.0,58.0,30.09,10.0,6.0,0.0,Cloudy,Day,2019,12.0
MapQuest,3,2019-12-29 09:46:47,2019-12-29 10:46:22,40.811867,-74.44693000000001,Cedar Knolls,Morris,NJ,37.0,37.0,93.0,30.07,10.0,3.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,3,2019-12-29 10:30:01,2019-12-29 13:05:06,40.916012,-74.369629,Montville,Morris,NJ,41.0,37.0,62.0,30.07,10.0,6.0,0.0,Partly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-29 10:39:19,2019-12-29 11:38:19,39.988625,-74.210732,Toms River,Ocean,NJ,46.0,42.0,86.0,30.15,10.0,7.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,3,2019-12-29 14:07:55,2019-12-29 15:06:56,40.85696,-73.973801,Fort Lee,Bergen,NJ,43.0,40.0,58.0,30.14,10.0,5.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-29 17:27:43,2019-12-29 18:30:23,40.895004,-74.01664,Teaneck,Bergen,NJ,40.0,37.0,70.0,30.11,6.0,5.0,0.01,Light Rain,Night,2019,12.0
MapQuest,3,2019-12-29 19:44:56,2019-12-29 21:06:48,40.866253,-74.00843,Teaneck,Bergen,NJ,39.0,35.0,76.0,30.07,2.0,6.0,0.04,Light Rain,Night,2019,12.0
MapQuest,3,2019-12-30 00:14:15,2019-12-30 01:16:04,40.076778000000004,-74.156357,Brick,Ocean,NJ,46.0,41.0,100.0,29.73,2.0,10.0,0.08,Light Rain,Night,2019,12.0
MapQuest,2,2019-12-30 00:58:01,2019-12-30 02:12:49,40.74749,-74.17014300000001,Newark,Essex,NJ,42.0,37.0,96.0,29.93,1.0,9.0,0.08,Light Rain,Night,2019,12.0
MapQuest,2,2019-12-30 08:51:03,2019-12-30 10:05:43,40.659386,-74.286926,Cranford,Union,NJ,42.0,35.0,92.0,29.81,2.0,12.0,0.0,Light Drizzle,Day,2019,12.0
MapQuest,2,2019-12-30 09:17:46,2019-12-30 10:32:21,39.967312,-74.91128499999999,Mount Laurel,Burlington,NJ,46.0,42.0,93.0,29.68,1.0,8.0,0.01,Light Rain,Day,2019,12.0
MapQuest,2,2019-12-30 11:18:13,2019-12-30 12:02:29,40.51936,-74.301247,Keasbey,Middlesex,NJ,42.0,35.0,93.0,29.77,1.0,14.0,0.0,Drizzle,Day,2019,12.0
MapQuest,3,2019-12-30 11:46:27,2019-12-30 12:16:08,40.641407,-74.208282,Elizabeth,Union,NJ,42.0,35.0,93.0,29.75,1.0,14.0,0.0,Light Rain,Day,2019,12.0
MapQuest,2,2019-12-30 12:25:17,2019-12-30 13:24:06,40.847252000000005,-74.017059,Ridgefield Park,Bergen,NJ,40.0,31.0,93.0,29.74,2.0,17.0,0.0,Light Rain,Day,2019,12.0
MapQuest,3,2019-12-30 13:01:05,2019-12-30 15:15:04,40.213509,-74.101051,Tinton Falls,Monmouth,NJ,45.0,38.0,100.0,29.53,1.0,17.0,0.03,Light Rain,Day,2019,12.0
MapQuest,3,2019-12-30 13:02:43,2019-12-30 15:16:08,40.2117,-74.095993,Neptune,Monmouth,NJ,45.0,38.0,100.0,29.53,1.0,17.0,0.03,Light Rain,Day,2019,12.0
MapQuest,3,2019-12-30 13:03:12,2019-12-30 15:06:50,40.213840000000005,-74.097,Neptune,Monmouth,NJ,45.0,38.0,100.0,29.53,1.0,17.0,0.03,Light Rain,Day,2019,12.0
MapQuest,2,2019-12-30 13:16:19,2019-12-30 13:45:49,40.734734,-74.12554899999999,Newark,Essex,NJ,43.0,36.0,89.0,29.73,3.0,13.0,0.02,Light Rain,Day,2019,12.0
MapQuest,3,2019-12-30 16:21:23,2019-12-30 16:51:03,39.876209,-75.101646,Bellmawr,Camden,NJ,45.0,38.0,82.0,29.62,10.0,15.0,0.01,Mostly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-30 16:34:49,2019-12-30 17:04:25,40.892921,-74.011261,Teaneck,Bergen,NJ,42.0,35.0,89.0,29.78,3.0,15.0,0.1,Rain,Day,2019,12.0
MapQuest,3,2019-12-30 16:53:14,2019-12-30 17:37:54,40.859660999999996,-74.369476,Parsippany,Morris,NJ,39.0,32.0,100.0,29.59,5.0,12.0,0.0,Rain,Day,2019,12.0
MapQuest,2,2019-12-30 17:50:17,2019-12-30 18:51:16,39.961472,-75.052139,Merchantville,Camden,NJ,45.0,37.0,80.0,29.61,10.0,18.0,0.0,Cloudy,Night,2019,12.0
MapQuest,2,2019-12-30 17:59:40,2019-12-30 18:59:17,40.767174,-74.021164,Weehawken,Hudson,NJ,39.0,28.0,96.0,29.63,7.0,23.0,0.04,Light Rain / Windy,Night,2019,12.0
MapQuest,2,2019-12-30 18:37:18,2019-12-30 19:07:05,40.869479999999996,-74.04155,Hackensack,Bergen,NJ,40.0,33.0,89.0,29.78,6.0,12.0,0.0,Light Rain,Night,2019,12.0
MapQuest,2,2019-12-30 20:45:46,2019-12-30 21:29:49,40.851665000000004,-73.952301,Fort Lee,Bergen,NJ,39.0,35.0,87.0,29.78,10.0,6.0,0.0,Cloudy,Night,2019,12.0
MapQuest,4,2019-12-31 04:24:05,2019-12-31 05:33:34,40.858028000000004,-73.97434200000001,Fort Lee,Bergen,NJ,39.0,35.0,86.0,29.68,10.0,6.0,0.0,Cloudy,Night,2019,12.0
MapQuest,2,2019-12-31 07:45:30,2019-12-31 10:30:00,40.606190000000005,-75.170776,Alpha,Warren,NJ,37.0,37.0,89.0,29.31,6.0,0.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-31 08:40:05,2019-12-31 09:25:15,40.693451,-75.110291,Stewartsville,Warren,NJ,38.0,38.0,86.0,29.31,4.0,3.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-31 08:52:01,2019-12-31 09:36:08,39.785579999999996,-75.179626,Mantua,Gloucester,NJ,40.0,37.0,83.0,29.69,9.0,5.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-31 10:14:10,2019-12-31 10:59:00,40.917190999999995,-74.16838100000001,Paterson,Passaic,NJ,40.0,40.0,83.0,29.51,10.0,0.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-31 10:29:09,2019-12-31 10:58:52,40.776428,-74.04091600000001,North Bergen,Hudson,NJ,38.0,34.0,89.0,29.54,10.0,5.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-31 15:11:54,2019-12-31 15:56:36,41.267509000000004,-74.645149,Sussex,Sussex,NJ,41.0,35.0,79.0,29.12,10.0,9.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,2,2019-12-31 15:40:42,2019-12-31 16:55:24,40.767174,-74.021164,Weehawken,Hudson,NJ,44.0,42.0,68.0,29.46,10.0,5.0,0.0,Partly Cloudy,Day,2019,12.0
MapQuest,3,2019-12-31 15:59:22,2019-12-31 16:59:03,40.568214000000005,-74.55674,Bound Brook,Somerset,NJ,44.0,44.0,71.0,29.5,10.0,0.0,0.0,Cloudy,Day,2019,12.0
MapQuest,2,2019-12-31 17:25:36,2019-12-31 18:25:42,39.847115,-75.096222,Woodbury,Gloucester,NJ,46.0,41.0,68.0,29.62,10.0,12.0,0.0,Mostly Cloudy,Night,2019,12.0
MapQuest,2,2019-12-31 17:05:53,2019-12-31 18:05:36,40.89262,-74.492798,Denville,Morris,NJ,43.0,39.0,81.0,29.43,10.0,6.0,0.0,Mostly Cloudy,Day,2019,12.0
MapQuest,2,2019-11-30 23:25:52,2019-12-01 01:41:01,40.391391999999996,-74.18306,Holmdel,Monmouth,NJ,30.0,30.0,64.0,29.85,10.0,3.0,0.0,Fair,Night,2019,11.0
MapQuest,2,2019-12-01 02:32:11,2019-12-01 04:04:08,40.466286,-74.29029799999999,South Amboy,Middlesex,NJ,32.0,32.0,48.0,29.99,10.0,0.0,0.0,Fair,Night,2019,12.0
MapQuest,3,2019-12-01 03:59:46,2019-12-01 05:15:12,40.890999,-74.311867,Fairfield,Essex,NJ,29.0,23.0,56.0,29.83,10.0,6.0,0.0,Fair,Night,2019,12.0
MapQuest,3,2019-12-01 06:43:53,2019-12-01 09:27:00,40.917786,-74.129494,Elmwood Park,Bergen,NJ,27.0,19.0,61.0,29.99,10.0,7.0,0.0,Fair,Day,2019,12.0
MapQuest,2,2019-12-01 09:22:19,2019-12-01 10:06:39,39.679672,-75.486267,Penns Grove,Salem,NJ,37.0,29.0,79.0,29.8,10.0,12.0,0.0,Cloudy,Day,2019,12.0
MapQuest,3,2019-12-01 10:57:48,2019-12-01 11:42:14,40.623798,-74.21623199999999,Linden,Union,NJ,33.0,33.0,61.0,29.93,7.0,0.0,0.0,Drizzle,Day,2019,12.0
MapQuest,3,2019-12-01 11:08:44,2019-12-01 12:38:43,40.891605,-74.710495,Netcong,Morris,NJ,23.0,16.0,78.0,29.43,6.0,6.0,0.0,Light Freezing Rain,Day,2019,12.0
MapQuest,2,2019-12-01 11:21:05,2019-12-01 13:35:24,39.679672,-75.486267,Penns Grove,Salem,NJ,38.0,32.0,89.0,29.73,2.0,8.0,0.02,Light Snow,Day,2019,12.0
MapQuest,3,2019-12-01 11:29:30,2019-12-01 12:43:41,40.097716999999996,-74.731453,Columbus,Burlington,NJ,39.0,33.0,87.0,29.67,7.0,9.0,0.0,Cloudy,Day,2019,12.0
MapQuest,3,2019-12-01 11:31:21,2019-12-01 12:47:08,40.09956,-74.785706,Bordentown,Burlington,NJ,33.0,24.0,85.0,29.59,2.0,13.0,0.01,Wintry Mix,Day,2019,12.0
MapQuest,2,2019-12-01 11:44:16,2019-12-01 13:02:01,39.401081,-74.558899,Egg Harbor Township,Atlantic,NJ,45.0,39.0,90.0,29.72,2.0,14.0,0.08,Rain,Day,2019,12.0
MapQuest,3,2019-12-01 12:02:52,2019-12-01 14:08:09,40.349075,-74.476311,Monroe Township,Middlesex,NJ,33.0,24.0,89.0,29.58,3.0,12.0,0.0,Wintry Mix,Day,2019,12.0
MapQuest,3,2019-12-01 12:30:21,2019-12-01 14:46:09,40.83197,-74.438576,Cedar Knolls,Morris,NJ,28.0,22.0,100.0,29.67,4.0,6.0,0.0,Light Snow,Day,2019,12.0
MapQuest,3,2019-12-01 12:46:48,2019-12-01 15:17:37,40.541458,-74.29441800000001,Woodbridge,Middlesex,NJ,33.0,33.0,88.0,29.83,2.0,0.0,0.04,Rain,Day,2019,12.0
MapQuest,3,2019-12-01 13:04:28,2019-12-01 16:25:30,40.005981,-74.854591,Mount Holly,Burlington,NJ,39.0,35.0,96.0,29.72,3.0,6.0,0.05,Light Rain,Day,2019,12.0
MapQuest,2,2019-12-01 13:05:20,2019-12-01 14:19:43,39.93483,-75.081512,Pennsauken,Camden,NJ,37.0,28.0,86.0,29.59,4.0,15.0,0.03,Light Rain,Day,2019,12.0
MapQuest,2,2019-12-01 13:11:30,2019-12-01 14:26:02,39.931540999999996,-74.95253000000001,Mount Laurel,Burlington,NJ,40.0,33.0,93.0,29.64,3.0,12.0,0.02,Rain,Day,2019,12.0
MapQuest,2,2019-12-01 13:17:00,2019-12-01 15:41:28,40.659386,-74.286926,Cranford,Union,NJ,32.0,28.0,89.0,29.84,1.0,5.0,0.05,Rain,Day,2019,12.0
MapQuest,2,2019-12-01 13:17:00,2019-12-01 15:46:53,40.659386,-74.286926,Cranford,Union,NJ,32.0,28.0,89.0,29.84,1.0,5.0,0.05,Rain,Day,2019,12.0
MapQuest,3,2019-12-01 13:31:04,2019-12-01 15:16:50,39.886359999999996,-75.104561,Gloucester City,Camden,NJ,40.0,32.0,89.0,29.62,7.0,14.0,0.03,Light Rain,Day,2019,12.0
MapQuest,3,2019-12-01 13:33:59,2019-12-01 15:04:55,40.72971,-74.12712900000001,Newark,Essex,NJ,32.0,22.0,92.0,29.76,4.0,14.0,0.16,Wintry Mix,Day,2019,12.0
MapQuest,3,2019-12-01 13:41:31,2019-12-01 14:55:58,40.75333,-74.11868299999999,Kearny,Hudson,NJ,32.0,22.0,92.0,29.76,4.0,14.0,0.16,Wintry Mix,Day,2019,12.0
MapQuest,2,2019-12-01 13:47:14,2019-12-01 15:47:16,40.785046,-74.200272,Bloomfield,Essex,NJ,30.0,23.0,80.0,29.79,0.75,7.0,0.06,Snow and Sleet,Day,2019,12.0
MapQuest,2,2019-12-01 14:06:14,2019-12-01 16:25:24,40.694408,-74.261337,Union,Union,NJ,33.0,25.0,92.0,29.72,5.0,10.0,0.02,Wintry Mix,Day,2019,12.0
MapQuest,2,2019-12-01 14:18:48,2019-12-01 15:33:13,40.725227000000004,-74.227913,Irvington,Essex,NJ,33.0,25.0,92.0,29.72,5.0,10.0,0.02,Wintry Mix,Day,2019,12.0
MapQuest,2,2019-12-01 14:32:59,2019-12-01 15:17:20,40.690762,-74.26880600000001,Union,Union,NJ,35.0,26.0,89.0,29.72,6.0,13.0,0.04,Wintry Mix,Day,2019,12.0
MapQuest,3,2019-12-01 14:44:08,2019-12-01 15:45:10,40.194206,-74.605446,Trenton,Mercer,NJ,34.0,25.0,92.0,29.41,4.0,13.0,0.02,Rain,Day,2019,12.0
MapQuest,3,2019-12-01 15:56:59,2019-12-01 16:25:48,40.929253,-75.072296,Columbia,Warren,NJ,25.0,15.0,85.0,29.24,6.0,10.0,0.02,N/A Precipitation,Day,2019,12.0
MapQuest,2,2019-12-01 16:07:39,2019-12-01 17:40:22,40.859829,-74.759438,Budd Lake,Morris,NJ,25.0,15.0,85.0,29.24,6.0,10.0,0.02,N/A Precipitation,Day,2019,12.0
MapQuest,2,2019-12-01 16:35:54,2019-12-01 17:05:00,40.750095,-74.168091,Newark,Essex,NJ,35.0,26.0,96.0,29.63,5.0,15.0,0.18,Light Rain,Day,2019,12.0
